movie_titles,avg_rating
12 angry men,9.5971830985915485
the empire strikes back,9.54335260115607
singin in the rain,9.51129943502825
the lord of the rings the return of the king,9.510086455331413
the good the bad and the ugly,9.479885057471265
inglourious basterds,9.475920679886686
the human condition iii a soldiers prayer,9.473837209302326
spider man into the spider verse,9.46742209631728
its a wonderful life,9.462857142857143
terminator 2 judgment day,9.452991452991453
mulholland drive,9.436781609195402
psycho,9.434659090909092
goodfellas,9.427350427350428
the shining,9.424501424501425
before sunset,9.419263456090652
high and low,9.412103746397694
harakiri,9.407407407407407
there will be blood,9.406340057636887
come and see,9.405172413793103
portrait of a lady on fire,9.388571428571428
the lord of the rings the fellowship of the ring,9.383040935672515
the apartment,9.382183908045977
seven samurai,9.371757925072046
alien,9.363636363636363
the silence of the lambs,9.35632183908046
in the mood for love,9.355491329479769
the lord of the rings the two towers,9.354651162790697
the thing,9.349431818181818
spirited away,9.343661971830986
rear window,9.338235294117647
the godfather part ii,9.336206896551724
amadeus,9.335227272727273
barry lyndon,9.329512893982807
yi yi,9.324712643678161
eternity and a day,9.297687861271676
whiplash 2014,9.296296296296296
do the right thing,9.294617563739378
the young girls of rochefort,9.289398280802292
sunset boulevard,9.286931818181818
once upon a time in the west,9.286532951289399
a woman under the influence,9.283236994219653
apocalypse now,9.278873239436619
autumn sonata,9.267241379310345
2001 a space odyssey,9.267045454545455
fantastic mr fox,9.267045454545455
cinema paradiso,9.26
dog day afternoon,9.258522727272727
neon genesis evangelion the end of evangelion,9.258258258258259
chungking express,9.257879656160458
a separation,9.257790368271955
central station,9.256338028169013
a brighter summer day,9.255882352941176
the shawshank redemption,9.25287356321839
princess mononoke,9.252840909090908
ran,9.250712250712251
se7en,9.22316384180791
paths of glory,9.213675213675213
andrei rublev,9.211143695014663
mishima a life in four chapters,9.209912536443149
malcolm x 1992,9.208823529411765
persona,9.204610951008645
the handmaiden,9.201680672268907
secrets lies,9.196531791907514
the lion king,9.192528735632184
the passion of joan of arc,9.189655172413794
the human condition i no greater love,9.186588921282798
the red shoes,9.185714285714285
before sunrise,9.181303116147308
woman in the dunes,9.18
eternal sunshine of the spotless mind,9.158640226628895
casablanca,9.15850144092219
close up,9.152298850574713
dead poets society,9.148148148148149
children of men,9.147727272727273
the iron giant,9.144092219020173
all that jazz,9.137026239067055
napoleon,9.136904761904763
lawrence of arabia,9.136752136752136
three colours red,9.136363636363637
magnolia,9.13623188405797
schindlers list,9.133903133903134
the grand budapest hotel,9.13276836158192
no country for old men,9.132564841498558
fanny and alexander,9.12391930835735
memories of murder,9.122507122507123
some like it hot,9.114285714285714
aftersun,9.109467455621301
ikiru,9.106628242074928
taste of cherry,9.100286532951289
city of god,9.098870056497175
la haine,9.096045197740112
grave of the fireflies,9.09375
good will hunting,9.090909090909092
mommy 2014,9.085470085470085
the best of youth,9.084057971014493
fight club,9.0791788856305
double indemnity,9.078034682080926
dune part two,9.077380952380953
paper moon,9.074074074074074
an elephant sitting still,9.07267441860465
spider man across the spider verse,9.072463768115941
cure,9.071428571428571
le trou,9.062678062678062
i am cuba,9.061946902654867
the ascent,9.060869565217391
the truman show,9.056338028169014
the godfather,9.048710601719197
funeral parade of roses,9.0466472303207
pather panchali,9.046376811594202
the man who shot liberty valance,9.044776119402986
prisoners,9.03954802259887
the departed,9.037249283667622
still walking,9.031428571428572
sansho the bailiff,9.028818443804035
the human condition ii road to eternity,9.026162790697674
tokyo story,9.025787965616045
late spring,9.023054755043228
a special day,9.017543859649123
sorcerer,9.014619883040936
the tale of the princess kaguya,9.008522727272727
landscape in the mist,9.005813953488373
army of shadows,8.994202898550725
the dark knight,8.991329479768787
sweet smell of success,8.991279069767442
to be or not to be,8.985549132947977
all about eve,8.979885057471265
the 400 blows,8.977272727272727
nights of cabiria,8.977077363896848
stalker,8.976047904191617
swing girls,8.975830815709969
whos afraid of virginia woolf,8.97391304347826
z,8.970238095238095
the pianist,8.963483146067416
brief encounter,8.96264367816092
pulp fiction,8.960339943342776
chinatown,8.959537572254336
the best years of our lives,8.954022988505747
opening night,8.949404761904763
perfect blue,8.948717948717949
a matter of life and death,8.94186046511628
scenes from a marriage,8.941348973607038
apur sansar,8.939481268011527
paris texas,8.936599423631124
the battle of algiers,8.934911242603551
the cranes are flying,8.934097421203438
mirror,8.931750741839762
sherlock jr,8.931232091690545
raise the red lantern,8.924198250728862
le samourai,8.916184971098266
django unchained,8.912921348314606
one flew over the cuckoos nest,8.909090909090908
the cremator,8.909090909090908
the sacrifice,8.901162790697674
the king of comedy,8.897727272727273
the life and death of colonel blimp,8.896449704142011
la notte,8.892857142857142
ordet,8.891891891891891
city lights,8.890489913544668
happy together 1997,8.889855072463767
nobody knows,8.887608069164266
the treasure of the sierra madre,8.885386819484241
love exposure,8.885057471264368
the night of the hunter,8.883720930232558
red beard,8.879310344827585
interstellar,8.87106017191977
make way for tomorrow,8.870967741935484
the third man,8.8698224852071
your name,8.869688385269122
modern times,8.864161849710984
a man escaped,8.861764705882353
the fifth seal,8.85919540229885
oldboy,8.855907780979827
bicycle thieves,8.855524079320114
shoplifters,8.853107344632768
ritual 2000,8.851632047477745
life and nothing more,8.848837209302326
m,8.84660766961652
sing sing 2023,8.844117647058823
judgment at nuremberg,8.843304843304843
vertigo,8.837142857142856
its such a beautiful day,8.836309523809524
where is the friends house,8.836309523809524
wings of desire,8.833819241982507
raging bull,8.832853025936599
witness for the prosecution 1957,8.829479768786127
incendies,8.826704545454545
dr strangelove or how i learned to stop worrying and love the bomb,8.825214899713467
rocco and his brothers,8.8231884057971
wild strawberries,8.822857142857142
the prestige,8.818941504178273
underground 1995,8.816568047337277
jeanne dielman 23 quai du commerce 1080 bruxelles,8.814589665653495
the elephant man,8.803418803418804
amour,8.802857142857142
metropolis,8.784883720930232
ugetsu,8.783382789317507
la dolce vita,8.783236994219653
the wages of fear,8.776504297994268
4 months 3 weeks and 2 days,8.775510204081632
werckmeister harmonies,8.774774774774775
saving private ryan,8.773638968481375
ace in the hole,8.771186440677965
an autumn afternoon,8.76608187134503
the great dictator,8.763005780346822
mary and max,8.752136752136753
the holdovers,8.747800586510264
samurai rebellion,8.744252873563218
nostalgia 1983,8.74251497005988
das boot,8.734463276836157
the hunt 2012,8.734463276836157
aparajito,8.729651162790697
yojimbo,8.728862973760933
the seventh seal,8.728323699421965
the green mile,8.71629213483146
the weeping meadow,8.709770114942529
the celebration,8.707246376811595
satantango,8.707165109034268
akira,8.70674486803519
tampopo,8.69855072463768
umberto d,8.69855072463768
anatomy of a murder,8.694285714285714
evangelion 3010 thrice upon a time,8.6871165644171775
farewell my concubine,8.678571428571429
howls moving castle,8.674285714285714
millennium actress,8.672463768115943
kes,8.654867256637168
the first slam dunk,8.653958944281525
rififi,8.653295128939828
throne of blood,8.645348837209303
rashomon,8.643059490084985
the face of another,8.636887608069165
solaris,8.608823529411765
oppenheimer 2023,8.607669616519175
the father 2020,8.597733711048159
winter light,8.58600583090379
the bridge on the river kwai,8.585714285714285
network,8.581395348837209
children of paradise,8.577712609970675
dersu uzala,8.559766763848396
perfect days 2023,8.504398826979472
8 half,8.485380116959064
the lives of others,8.188034188034187
life is beautiful,7.9914772727272725
everything everywhere all at once,7.988235294117647
marcel the shell with shoes on,7.9
monster,7.564469914040115
eureka,6.912386706948641
heat,6.487878787878788
war and peace,6.2208955223880595
parasite,4.863372093023256
