letterboxd_title,imdb_title
magnolia,Magnolia
schindlers-list,Schindler's List
the-grand-budapest-hotel,The Grand Budapest Hotel
no-country-for-old-men,No Country for Old Men
fanny-and-alexander,Fanny and Alexander
memories-of-murder,Memories of Murder
some-like-it-hot,Some Like It Hot
aftersun,Aftersun
ikiru,Ikiru
taste-of-cherry,Taste of Cherry
city-of-god,City of God
la-haine,La haine
grave-of-the-fireflies,Grave of the Fireflies
good-will-hunting,Good Will Hunting
mommy-2014,Mommy
the-best-of-youth,The Best of Youth
fight-club,Fight Club
double-indemnity,Double Indemnity
dune-part-two,Dune: Part Two
paper-moon,Paper Moon
an-elephant-sitting-still,An Elephant Sitting Still
spider-man-across-the-spider-verse,Spider-Man: Into the Spider-Verse
cure,Cure
le-trou,Le trouvère
i-am-cuba,I Am Cuba
the-ascent,The Ascent
the-truman-show,The Truman Show
the-godfather,The Godfather
funeral-parade-of-roses,Funeral parade of Roses
pather-panchali,Pather Panchali
the-man-who-shot-liberty-valance,The Man who the Liberty Valance
prisoners,Prisoners
the-departed,The Departed
still-walking,Still Walking
sansho-the-bailiff,Sansho The Bailiff
the-human-condition-ii-road-to-eternity,The Human Condition condition-ii the To Eternity
tokyo-story,Tokyo Story
late-spring,Late Spring
a-special-day,A Special Day
sorcerer,Sorcerer
the-tale-of-the-princess-kaguya,The Tale of the Princess Kaguya
landscape-in-the-mist,Landscape in the Mist
army-of-shadows,Army Of Shadows
the-dark-knight,The Dark Knight
sweet-smell-of-success,Sweet Smell of Success
to-be-or-not-to-be,To Be or to To Be
all-about-eve,All About Eve
the-400-blows,The Blows Blows
nights-of-cabiria,Nights Of Cabiria
stalker,Stalker
swing-girls,Swing Girls
whos-afraid-of-virginia-woolf,Whos Afraid of Virginia Woold
z,Z
the-pianist,The Pianist
brief-encounter,Brief Encounter
pulp-fiction,Pulp Fiction
chinatown,Chinatown
the-best-years-of-our-lives,The Best Years of Our Lives
opening-night,Opening Night
perfect-blue,Perfect Blue
a-matter-of-life-and-death,A Matter of Life and Death
scenes-from-a-marriage,Scenes from a Marriage
apur-sansar,Apur Sansar
paris-texas,Paris Texas
the-battle-of-algiers,The Battle of Algiers
the-cranes-are-flying,The Cranes are Flying
mirror,Mirror
sherlock-jr,Sherlock Jr
raise-the-red-lantern,Raise the Red Lantern
le-samourai,Le Samourai
django-unchained,Django Unchained
one-flew-over-the-cuckoos-nest,One Flew Over the Cuckoo's Nest
the-cremator,The Cremator
the-sacrifice,The Sacrifice
the-king-of-comedy,The King of Comedy
the-life-and-death-of-colonel-blimp,The Life and Death of Colonel Blimp
la-notte,La Notte
ordet,Ordet
city-lights,City Lights
happy-together-1997,Happy Together
nobody-knows,Nobody Knows
the-treasure-of-the-sierra-madre,The Treasure of the Sierra Madre
love-exposure,Love Exposure
the-night-of-the-hunter,The Night of the Hunter
red-beard,Red Beard
interstellar,Interstellar
make-way-for-tomorrow,Make Way for Tomorrow
the-third-man,The Third Man
your-name,Your Name
modern-times,Modern Times
a-man-escaped,A Man Escaped
the-fifth-seal,The Fifth Seal
oldboy,Oldboy
bicycle-thieves,Bicycle Thieves
shoplifters,Shoplifters
ritual-2000,Ritual
life-and-nothing-more,Life and Nothing More
m,M
sing-sing-2023,Sing Sing
judgment-at-nuremberg,Judgment At Nuremberg
vertigo,Vertigo
its-such-a-beautiful-day,It’s Such a Beautiful Day
where-is-the-friends-house,Where is the Friends House
wings-of-desire,Wings Of Desire
raging-bull,Raging Bull
witness-for-the-prosecution-1957,Witness for the Prosecution
incendies,Incendies
dr-strangelove-or-how-i-learned-to-stop-worrying-and-love-the-bomb,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb
rocco-and-his-brothers,Rocco and His Brothers
wild-strawberries,Wild Strawberries
the-prestige,The Prestige
underground-1995,Underground
jeanne-dielman-23-quai-du-commerce-1080-bruxelles,"Jeanne Dielman, 23, quai du Commerce, 1080 Bruxelles"
the-elephant-man,The Elephant Man
amour,Amour
metropolis,Metropolis
ugetsu,Ugetsu
la-dolce-vita,La Dolce Vita
the-wages-of-fear,The Wages of Fear
4-months-3-weeks-and-2-days,"4 Months, 3 Weeks and 2 Days"
werckmeister-harmonies,Werckmeister Harmonies
saving-private-ryan,Saving Private Ryan
ace-in-the-hole,Ace in the Hole
an-autumn-afternoon,An Autumn Afternoon
the-great-dictator,The Great Dictator
mary-and-max,Mary And Max
the-holdovers,The Holdovers
samurai-rebellion,Samurai Rebellion
nostalgia-1983,Nostalgia
das-boot,Das Boot
the-hunt-2012,The Hunt
aparajito,Aparajito
yojimbo,Yojimbo
the-seventh-seal,The Seventh Seal
the-green-mile,The Green Mile
the-weeping-meadow,The Weeping Meadow
the-celebration,The Celebration
satantango,Satantango
akira,Akira
tampopo,Tampopo
umberto-d,Umberto D
anatomy-of-a-murder,Anatomy of a Murder
evangelion-3010-thrice-upon-a-time,Evangelion: 3.0+1.01 Thrice Upon a Time
farewell-my-concubine,Farewell My Concubine
howls-moving-castle,Howls Moving Castle
millennium-actress,Millennium Actress
kes,Kes
the-first-slam-dunk,The First Slam Dunk
rififi,Rififi
throne-of-blood,Throne Of Blood
rashomon,Rashomon
the-face-of-another,The Face of Another
solaris,Solaris
oppenheimer-2023,Oppenheimer
the-father-2020,The Father
winter-light,Winter Light
the-bridge-on-the-river-kwai,The Bridge on the River Kwai
network,Network
children-of-paradise,Children Of Paradise
dersu-uzala,Dersu Uzala
perfect-days-2023,Perfect Days
8-half,8 Half
the-lives-of-others,The Lives of Others
life-is-beautiful,Life Is Beautiful
everything-everywhere-all-at-once,Everything Everwhere All at Once
marcel-the-shell-with-shoes-on,Marcel the Shell with Shoes On
monster,Monster
eureka,Eureka
heat,Heat
war-and-peace,War And Peace
parasite,Parasite
